# Chunk-averaged data for fix ave_densityy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 20999.999999999996
  64 0.635 217.48 0.122229
  65 0.645 222.416 0.125003
  66 0.655 209.194 0.117572
  67 0.665 215.684 0.12122
  68 0.675 221.426 0.124447
  69 0.685 206.382 0.115992
  70 0.695 214.664 0.120647
  71 0.705 214.978 0.120823
  72 0.715 208.748 0.117322
  73 0.725 215.78 0.121274
  74 0.735 218.73 0.122932
  75 0.745 213.866 0.120198
  76 0.755 218.962 0.123062
  77 0.765 219.65 0.123449
  78 0.775 213.452 0.119965
  79 0.785 216.79 0.121841
  80 0.795 218.148 0.122605
  81 0.805 216.328 0.121582
  82 0.815 215.994 0.121394
  83 0.825 214.09 0.120324
  84 0.835 205.898 0.11572
  85 0.845 215.142 0.120915
  86 0.855 206.456 0.116033
  87 0.865 203.164 0.114183
  88 0.875 210.108 0.118086
  89 0.885 207.884 0.116836
  90 0.895 204.172 0.11475
  91 0.905 210.116 0.11809
  92 0.915 209.828 0.117929
  93 0.925 204.552 0.114963
  94 0.935 210.84 0.118497
  95 0.945 204.598 0.114989
  96 0.955 206.994 0.116336
  97 0.965 207.366 0.116545
  98 0.975 209.892 0.117965
  99 0.985 215.262 0.120983
  100 0.995 207.558 0.116653
90000 100 21000.00000000001
  1 0.005 209.85 0.117941
  2 0.015 209.544 0.117769
  3 0.025 215.972 0.121382
  4 0.035 216.858 0.12188
  5 0.045 208.294 0.117066
  6 0.055 216.356 0.121597
  7 0.065 216.596 0.121732
  8 0.075 204.81 0.115108
  9 0.085 215.89 0.121336
  10 0.095 216.962 0.121938
  11 0.105 209.884 0.11796
  12 0.115 210.75 0.118447
  13 0.125 214.184 0.120377
  14 0.135 208.584 0.117229
  15 0.145 203.786 0.114533
  16 0.155 211.578 0.118912
  17 0.165 213.316 0.119889
  18 0.175 204.814 0.115111
  19 0.185 208.044 0.116926
  20 0.195 206.306 0.115949
  21 0.205 204.568 0.114972
  22 0.215 203.598 0.114427
  23 0.225 203.21 0.114209
